,maps_taps,travel_taps,productivity_taps,personalisation_taps,tools_taps,communication_taps,news_magazines_taps,social_taps,shopping_taps,video_players_taps,finance_taps,weather_taps,photography_taps,entertainement_taps,sport_taps,lifestyle_taps,music_audio_taps,game_taps,education_taps,business_taps,health_fitness_taps,food_drink_taps,books_reference_taps,Median_Distances
173,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.052
174,0,5,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.9615
175,0,589,171,0,1029,9330,0,2934,1119,883,629,0,0,403,0,212,341,14766,22,820,2,0,104,1023.0229999999999
176,0,59,4,0,73,43,0,22,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,1059.2869999999998
177,0,245,320,0,4,762,21,0,0,0,0,0,6,0,0,1,0,182,0,1,0,0,0,1097.2115
178,0,336,94,0,11,1367,541,1246,0,27,0,0,26,0,0,0,0,78,0,6,18,0,0,1109.2779999999998
179,0,366,102,0,32,549,58,214,0,85,0,0,0,0,0,0,0,711,0,132,4,0,0,1126.9364999999998
180,0,119,1,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144.4299999999998
181,0,809,7,0,243,1251,0,595,44,0,119,0,71,0,0,0,0,7134,0,173,17,93,13,1161.44
182,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1193.816
183,0,4,2,0,2,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1224.3175
184,0,0,5,0,11,296,0,1,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1251.405
185,3,731,51,0,138,1867,289,0,96,0,0,0,0,0,0,0,0,14,0,0,16,0,0,1275.732
186,0,5,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1294.3105
187,21,0,0,0,10,415,0,1010,0,213,0,0,0,0,0,20,5,0,0,2,0,0,0,1311.002
188,36,0,23,0,0,1001,0,121,0,186,0,0,0,0,0,0,2,0,0,0,0,0,0,1320.5735
189,974,4935,1275,0,417,38358,4139,61248,636,342,1425,25,112,127,0,753,209,27086,0,1269,14,272,0,1327.8380000000002
190,102,176,431,0,19,7418,3938,2983,226,625,154,0,31,0,0,43,16,0,0,130,48,99,0,1331.9635
191,39,204,266,0,193,6756,6750,4041,0,497,119,0,3,0,0,81,22,1,0,583,3,72,0,1334.6095
192,392,1085,2797,0,63,33431,8639,3347,205,622,1209,0,591,0,0,60,78,1486,11,1261,84,0,0,1337.1025
193,214,81,323,0,2,5277,1650,3428,0,605,24,0,102,0,0,0,23,6,0,2014,87,0,0,1339.6895
194,59,108,61,0,4,6921,1555,2415,22,1612,346,0,16,0,0,0,28,41,0,213,0,1,0,1343.6084999999998
195,226,200,556,0,8,11567,2669,17802,0,241,114,0,9,0,0,3,23,81,1,9,64,0,0,1347.8139999999999
196,10,0,0,0,0,118,13,734,0,395,4,0,0,0,0,0,4,0,0,0,0,0,0,1355.0355
197,0,15,13,0,0,373,314,484,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1364.1779999999999
198,8,0,0,0,13,492,126,557,10,136,0,0,0,0,0,0,5,0,0,59,0,0,0,1374.6385
199,211,279,68,0,2,1548,386,264,0,56,0,0,7,0,0,0,5,0,0,41,0,27,0,1387.095
